epoch,accuracy,loss,val_accuracy,val_loss
0,0.2456592172384262,0.8814358115196228,0.9790416955947876,0.9925777912139893
1,0.005439049564301968,0.672921895980835,0.007195539306849241,0.9857118725776672
2,0.005514423828572035,0.6217820644378662,0.007195519749075174,0.9822304248809814
3,0.005396041553467512,0.6037018299102783,0.007195539306849241,0.982874870300293
4,0.005469492170959711,0.5500389933586121,0.006983378902077675,0.7313804030418396
5,0.00548811350017786,0.5182560086250305,0.007327217608690262,0.7822864055633545
6,0.005180880893021822,0.5146020650863647,0.007195539306849241,0.9480985999107361
7,0.005121775437146425,0.5401807427406311,0.005137251224368811,0.7314266562461853
8,0.005346268881112337,0.5626988410949707,0.007195539306849241,0.9771671891212463
9,0.00544797582551837,0.5098868012428284,0.0069798375479876995,0.49330589175224304
10,0.005587829276919365,0.5004451870918274,0.0071205017156898975,0.49047213792800903
11,0.005565101746469736,0.473235547542572,0.007905648089945316,0.5211381912231445
12,0.0056267064064741135,0.47655680775642395,0.007418215274810791,0.5435917377471924
13,0.0056476956233382225,0.47386929392814636,0.00793429370969534,0.48089340329170227
14,0.005690640304237604,0.46859344840049744,0.0062784780748188496,0.5353820323944092
15,0.00570393493399024,0.4673241078853607,0.007520556915551424,0.4426886737346649
16,0.005726712755858898,0.4747670590877533,0.00651105772703886,0.5108025670051575
17,0.0056917984038591385,0.4618694484233856,0.007751706521958113,0.4621126055717468
18,0.00593511713668704,0.45121729373931885,0.007016187068074942,0.47605136036872864
19,0.005507795140147209,0.49357759952545166,0.005578105337917805,0.5859342217445374
20,0.005673122126609087,0.4623619616031647,0.007414545863866806,0.45098841190338135
21,0.005926758982241154,0.44470110535621643,0.007357826456427574,0.43821659684181213
22,0.0059432671405375,0.4402705430984497,0.007685201708227396,0.4329269528388977
23,0.005782975349575281,0.4685724675655365,0.00530526926741004,0.6025567650794983
24,0.005807146895676851,0.4530841112136841,0.0070821200497448444,0.4628637433052063
25,0.005880259908735752,0.4429730474948883,0.006907246075570583,0.4736487567424774
26,0.005940552335232496,0.44428592920303345,0.007114149164408445,0.4791949391365051
27,0.005898769479244947,0.4427880048751831,0.00632672430947423,0.5058149099349976
28,0.005955721717327833,0.4391016960144043,0.007017962634563446,0.45226070284843445
29,0.005973252467811108,0.4433481693267822,0.006627762224525213,0.4915664792060852
30,0.00602354621514678,0.43679505586624146,0.007198627106845379,0.4448778033256531
31,0.006059454288333654,0.4305128753185272,0.006675071083009243,0.47834208607673645
32,0.006058720871806145,0.4267713725566864,0.006100891623646021,0.524848997592926
33,0.006066352594643831,0.430329293012619,0.007033242378383875,0.4492051899433136
34,0.006082301028072834,0.4248640537261963,0.006907581817358732,0.4584536850452423
35,0.006130901165306568,0.4223939776420593,0.006288559641689062,0.5086252093315125
36,0.006153380498290062,0.41951194405555725,0.006180851254612207,0.5160630345344543
37,0.006133882328867912,0.4193779528141022,0.006210325751453638,0.5119577050209045
38,0.006187257822602987,0.41962355375289917,0.0067154946736991405,0.4730060398578644
39,0.006191943306475878,0.4144097566604614,0.006594499573111534,0.48174354434013367
40,0.006233718246221542,0.41406241059303284,0.006782167591154575,0.4706490635871887
41,0.006238000467419624,0.41357845067977905,0.006345249246805906,0.5072669386863708
42,0.006216255482286215,0.4159914255142212,0.006652846932411194,0.48123905062675476
43,0.006273635663092136,0.41405370831489563,0.0068913353607058525,0.4664185345172882
44,0.006236233748495579,0.4139963388442993,0.16407084465026855,0.9624208807945251
45,0.006298542954027653,0.40836021304130554,0.1321331113576889,0.9822755455970764
46,0.0063726226799190044,0.406174898147583,0.005882851779460907,0.5425560474395752
47,0.006400148384273052,0.40369734168052673,0.006263208109885454,0.5068702697753906
48,0.006388118490576744,0.402025043964386,0.006120620295405388,0.5216797590255737
49,0.006402250379323959,0.4000217616558075,0.006085927598178387,0.5218561887741089
50,0.006367189809679985,0.401813805103302,0.005610114894807339,0.567804753780365
51,0.006443323101848364,0.4055615961551666,0.00633928133174777,0.5063381791114807
52,0.006273102015256882,0.402861088514328,0.007284998428076506,0.4392370283603668
